rank,stadium,capacity,city,state,year_opened,type,tenant(s),image,location
27,Camp Randall Stadium,75822,Madison,Wisconsin,1917,Football,"Wisconsin Badgers (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Camp_randall_hockey_classic_031_%284337030308%29.jpg/150px-Camp_randall_hockey_classic_031_%284337030308%29.jpg,"[43.07007075, 43.07007075]"
28,Spartan Stadium,75005,East Lansing,Michigan,1923,Football,"Michigan State Spartans (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Nebraska_at_MSU_%288223699815%29.jpg/150px-Nebraska_at_MSU_%288223699815%29.jpg,"[42.7281642, 42.7281642]"
29,Bank of America Stadium,74867,Charlotte,North Carolina,1996,Football,"Carolina Panthers (NFL) Duke's Mayo Bowl (NCAA) ACC Championship Game (NCAA) Charlotte FC (MLS)
",https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/BofAStadium2015.JPG/150px-BofAStadium2015.JPG,"[35.225737, 35.225737]"
30,Caesars Superdome,73208,New Orleans,Louisiana,1975,Football,"New Orleans Saints (NFL) Sugar Bowl (NCAA) New Orleans Bowl (NCAA) Bayou Classic (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/The_Dome_New_Orleans_Man_Trip.jpg/150px-The_Dome_New_Orleans_Man_Trip.jpg,"[29.9510489, 29.9510489]"
31,NRG Stadium,72220,Houston,Texas,2002,Football,"Houston Texans (NFL) Texas Bowl (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Reliantstadium.jpg/150px-Reliantstadium.jpg,"[29.6848581, 29.6848581]"
32,Highmark Stadium,71608,Orchard Park,New York,1973,Football,"Buffalo Bills (NFL)
",https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/NHL_Winter_Classic_2008.jpg/150px-NHL_Winter_Classic_2008.jpg,"[42.7737131, 42.7737131]"
33,Legion Field,71594,Birmingham,Alabama,1926,Football,"
",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Legion_Field_Magic_City_Classic.jpg/150px-Legion_Field_Magic_City_Classic.jpg,"[33.5114854, 33.5114854]"
34,Mercedes-Benz Stadium,71000,Atlanta,Georgia,2017,"Football, soccer","Atlanta Falcons (NFL) Atlanta United FC (MLS) Peach Bowl (NCAA) SEC Championship Game (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Peach_Bowl_Pre-game_%2838723784494%29_%28cropped%29.jpg/150px-Peach_Bowl_Pre-game_%2838723784494%29_%28cropped%29.jpg,"[33.7554123, 33.7554123]"
35,M&T Bank Stadium,70745,Baltimore,Maryland,1998,Football,"Baltimore Ravens (NFL)
",https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/M%26T_Bank_Stadium_September_2022.jpg/150px-M%26T_Bank_Stadium_September_2022.jpg,"[39.2779734, 39.2779734]"
36,SoFi Stadium,70240,Inglewood,California,2020,Football,"Los Angeles Rams (NFL) Los Angeles Chargers (NFL)LA Bowl (NCAA)
",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/SoFi_Stadium_interior_2021.jpg/150px-SoFi_Stadium_interior_2021.jpg,"[33.95340735, 33.95340735]"
